*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	centralisovatelnost	centralizovatelnost
hrana	centralisovatelný	centralizovatelný
hrana	centralisovatelně	centralizovatelně
hrana	centralisovavší	centralizovavší
hrana	centralisování	centralizování
hrana	centralisovávací	centralizovávací
hrana	centralisovávající	centralizovávající
hrana	centralisovávanost	centralizovávanost
hrana	centralisovávaný	centralizovávaný
hrana	centralisovávaně	centralizovávaně
hrana	centralisovávat	centralizovávat
hrana	centralisovávatelnost	centralizovávatelnost
hrana	centralisovávatelný	centralizovávatelný
hrana	centralisovávatelně	centralizovávatelně
hrana	centralisovávání	centralizovávání
hrana	centralisující	centralizující
hrana	centrismus	centrizmus
hrana	cesium	cezium
hrana	chaotismus	chaotizmus
hrana	charakterisace	charakterizace
hrana	charakterisační	charakterizační
hrana	charakterisačně	charakterizačně
hrana	charakterisovací	charakterizovací
hrana	charakterisovanost	charakterizovanost
hrana	charakterisovaný	charakterizovaný
hrana	charakterisovaně	charakterizovaně
hrana	charakterisovat	charakterizovat
hrana	charakterisovatelnost	charakterizovatelnost
hrana	charakterisovatelný	charakterizovatelný
hrana	charakterisovatelně	charakterizovatelně
hrana	charakterisovavší	charakterizovavší
hrana	charakterisování	charakterizování
hrana	charakterisovávací	charakterizovávací
hrana	charakterisovávající	charakterizovávající
hrana	charakterisovávanost	charakterizovávanost
hrana	charakterisovávaný	charakterizovávaný
hrana	charakterisovávaně	charakterizovávaně
hrana	charakterisovávat	charakterizovávat
hrana	charakterisovávatelnost	charakterizovávatelnost
hrana	charakterisovávatelný	charakterizovávatelný
hrana	charakterisovávatelně	charakterizovávatelně
hrana	charakterisovávání	charakterizovávání
hrana	charakterisující	charakterizující
hrana	charisma	charizma
hrana	charismatickost	charizmatickost
hrana	charismaticky	charizmaticky
hrana	charismatický	charizmatický
hrana	charismatik	charizmatik
hrana	charismatikův	charizmatikův
hrana	chasidismus	chasidizmus
hrana	chemisace	chemizace
hrana	chemismus	chemizmus
hrana	chemotropismus	chemotropizmus
hrana	chiasmus	chiazmus
hrana	chromatismus	chromatizmus
hrana	chromosomální	chromozomální
hrana	chromosomálně	chromozomálně
hrana	chrysantéma	chryzantéma
hrana	chrysolit	chryzolit
hrana	chrysopras	chryzopras
hrana	chrysotil	chryzotil
hrana	churriguerrismus	churriguerrizmus
hrana	chvostismus	chvostizmus
hrana	ciselace	cizelace
hrana	ciselovací	cizelovací
hrana	ciselovanost	cizelovanost
hrana	ciselovaný	cizelovaný
hrana	ciselovaně	cizelovaně
hrana	ciselovat	cizelovat
hrana	ciselovatelnost	cizelovatelnost
hrana	ciselovatelný	cizelovatelný
hrana	ciselovatelně	cizelovatelně
hrana	ciselování	cizelování
hrana	ciselovávací	cizelovávací
hrana	ciselovávanost	cizelovávanost
hrana	ciselovávaný	cizelovávaný
hrana	ciselovávaně	cizelovávaně
hrana	ciselovávat	cizelovávat
hrana	ciselovávatelnost	cizelovávatelnost
hrana	ciselovávatelný	cizelovávatelný
hrana	ciselovávatelně	cizelovávatelně
hrana	ciselovávání	cizelovávání
hrana	ciselér	cizelér
hrana	ciselérka	cizelérka
hrana	ciselérčin	cizelérčin
hrana	ciselérův	cizelérův
hrana	civilisace	civilizace
hrana	civilisační	civilizační
hrana	civilisačně	civilizačně
hrana	civilismus	civilizmus
hrana	civilisovací	civilizovací
hrana	civilisovanost	civilizovanost
hrana	civilisovaný	civilizovaný
hrana	civilisovaně	civilizovaně
hrana	civilisovat	civilizovat
hrana	civilisovatelnost	civilizovatelnost
hrana	civilisovatelný	civilizovatelný
